accession	species	taxid	source	notes
# ── CAMISIM simulation genomes ───────────────────────────────────────────────
# Taxids corrected 2026-07-09 (NCBI-verified via eutils efetch XML):
#   Old taxid 1303 -> 28037 (1303 = S. oralis, not S. mitis; 28037 = S. mitis)
#   Old taxid 838  -> 28132 (838 = Prevotella genus node, not species)
#   Old taxid 836  -> 837   (836 = Porphyromonas genus node, not species)
#   Old taxid 732  -> 729   (732 = Aggregatibacter aphrophilus, not H. parainfluenzae)
#   Old taxid 483  -> 28449 (483 = Neisseria cinerea, not N. subflava)
#   Old taxid 224471 -> 28112 (224471 = Burkholderiales incertae sedis, not T. forsythia)
#   Old taxid 1760   -> 1655  (1760 = Actinomycetes class, not A. naeslundii species)
GCF_900637025.1	Streptococcus mitis	28037	camisim_simulation	taxid corrected 2026-07-09: old taxid 1303 = S. oralis; 28037 = S. mitis
GCF_000164675.2	Streptococcus salivarius	1304	camisim_simulation	taxid corrected 2026-07-09: old taxid 1318 = S. parasanguinis; 1304 = S. salivarius
GCF_900186885.1	Veillonella parvula	29466	camisim_simulation
GCF_900625065.1	Prevotella melaninogenica	28132	camisim_simulation	taxid corrected 2026-07-09: old taxid 838 = Prevotella genus node; 28132 = P. melaninogenica
GCF_003019295.1	Fusobacterium nucleatum	851	camisim_simulation
GCF_900636915.1	Haemophilus parainfluenzae	729	camisim_simulation	taxid corrected 2026-07-09: old taxid 732 = A. aphrophilus; 729 = H. parainfluenzae
GCF_000212375.1	Porphyromonas gingivalis	837	camisim_simulation	taxid corrected 2026-07-09: old taxid 836 = Porphyromonas genus node; 837 = P. gingivalis
GCA_000011025.1	Rothia mucilaginosa	43675	camisim_simulation
GCF_900475315.1	Neisseria subflava	28449	camisim_simulation	taxid corrected 2026-07-09: old taxid 483 = N. cinerea; 28449 = N. subflava
GCF_004362855.1	Tannerella forsythia	28112	camisim_simulation	taxid corrected 2026-07-09: old taxid 224471 = Burkholderiales incertae sedis; 28112 = T. forsythia
GCF_016127855.1	Actinomyces naeslundii	1655	camisim_simulation	taxid corrected 2026-07-09: old taxid 1760 = Actinomycetes class; 1655 = A. naeslundii
# ── Additional NCBI RefSeq strains (added to improve per-species recall) ──────
GCF_900637025.1	Streptococcus oralis	1303	ncbi_additional	Low recall in v4 validation sweep; taxid 1303 = S. oralis (confirmed NCBI 2026-07-09)
GCF_016127555.1	Streptococcus oralis	1303	ncbi_additional	Low recall in v4 validation sweep
GCF_018985485.2	Streptococcus oralis	1303	ncbi_additional	Low recall in v4 validation sweep
GCF_023611505.1	Streptococcus oralis	1303	ncbi_additional	Low recall in v4 validation sweep

# ── expand_all_sites.py additions (2026-07-09) ─────────────────────────────────
GCF_900475975.1	Streptococcus intermedius	1338	ncbi_expand	Milleri group; abscess former
GCF_016725005.1	Streptococcus constellatus	76860	ncbi_expand	Milleri group; abscess former
GCF_900636475.1	Streptococcus anginosus	1328	ncbi_expand	Milleri group; liver/brain abscess
GCF_019046945.1	Streptococcus gordonii	1302	ncbi_expand	Pioneer coloniser; inter-species signalling
GCF_900475445.1	Streptococcus cristatus	45634	ncbi_expand	Oral commensal; formerly S. crista; plaque
GCF_900475505.1	Streptococcus sanguinis	1305	ncbi_expand	Pioneer coloniser; dental plaque biofilm initiator; HOMD core species
GCF_019048645.1	Streptococcus mutans	1309	ncbi_expand	Primary dental caries pathogen
GCF_000164675.2	Streptococcus parasanguinis	1318	ncbi_expand	Early oral biofilm coloniser; coaggregation
GCF_900475035.1	Streptococcus pyogenes	1314	ncbi_expand	GAS; pharyngitis; tonsillitis; scarlet fever
GCF_041431435.1	Veillonella atypica	39777	ncbi_expand	Common oral Veillonella
GCF_001457635.1	Streptococcus pneumoniae	1313	ncbi_expand	Pharyngeal pathogen; pneumonia; oral coloniser
GCF_900637515.1	Veillonella dispar	39778	ncbi_expand	Common oral Veillonella
GCF_003172995.1	Streptococcus sobrinus	1310	ncbi_expand	Dental caries; second only to S. mutans
GCF_002959775.1	Veillonella rogosae	423477	ncbi_expand	Oral Veillonella
GCF_900637975.1	Actinomyces viscosus	1656	ncbi_expand	Dental plaque; caries-associated
GCF_030253495.1	Actinomyces israelii	1659	ncbi_expand	Actinomycosis; head and neck infection
GCF_031191545.1	Schaalia odontolytica	1660	ncbi_expand	Dental plaque; formerly Actinomyces odontolyticus; NCBI current name Schaalia odontolytica
GCF_000164695.2	Rothia dentocariosa	2047	ncbi_expand	Dental caries; calculus
GCF_016726365.1	Rothia aeria	172042	ncbi_expand	Oral commensal; lung infection risk
GCF_001953955.1	Prevotella intermedia	28131	ncbi_expand	Periodontitis; pregnancy gingivitis
GCF_016127955.1	Actinomyces oris	544580	ncbi_expand	Dominant early oral coloniser; coaggregation
