accession	species	taxid	source	notes
# ── CAMISIM simulation genomes ───────────────────────────────────────────────
GCF_014131755.1	Bacteroides thetaiotaomicron	818	camisim_simulation
GCF_000154385.1	Faecalibacterium prausnitzii	853	camisim_simulation
GCF_012932365.1	Bifidobacterium longum	1678	camisim_simulation
GCF_009731575.1	Akkermansia muciniphila	239935	camisim_simulation
GCF_000008865.2	Escherichia coli	562	camisim_simulation
GCF_000014425.1	Lacticaseibacillus rhamnosus	47715	camisim_simulation
GCF_025147765.1	Roseburia intestinalis	166486	camisim_simulation
GCF_016027375.1	Clostridioides difficile	1496	camisim_simulation
GCF_000025985.1	Bacteroides fragilis	817	camisim_simulation
GCF_020735445.1	Prevotella copri	165179	camisim_simulation
GCF_900537995.1	Mediterraneibacter gnavus	33038	camisim_simulation
GCF_025998455.1	Helicobacter pylori	210	camisim_simulation
# ── Additional NCBI RefSeq strains (added to improve per-species recall) ──────
GCF_022453665.1	Bacteroides thetaiotaomicron	818	ncbi_additional	Low recall in v4 validation sweep
GCF_019857385.1	Bacteroides thetaiotaomicron	818	ncbi_additional	Low recall in v4 validation sweep
GCF_019896115.1	Bacteroides thetaiotaomicron	818	ncbi_additional	Low recall in v4 validation sweep
GCF_003050665.1	Helicobacter pylori	210	ncbi_additional	Low recall in v4 validation sweep
GCF_004295525.1	Helicobacter pylori	210	ncbi_additional	Low recall in v4 validation sweep
GCF_900478295.1	Helicobacter pylori	210	ncbi_additional	Low recall in v4 validation sweep
GCF_040050875.1	Lactobacillus gasseri	1596	ncbi_additional	Low recall in v4 validation sweep
GCF_002158885.1	Lactobacillus gasseri	1596	ncbi_additional	Low recall in v4 validation sweep
GCF_013363915.1	Lactobacillus gasseri	1596	ncbi_additional	Low recall in v4 validation sweep
GCF_017840575.1	Lactobacillus gasseri	1596	ncbi_additional	Low recall in v4 validation sweep

# ── expand_all_sites.py additions (2026-07-09) ─────────────────────────────────
GCF_900445495.1	Parabacteroides merdae	46503	ncbi_expand	Gut commensal
GCF_018279895.1	Parabacteroides distasonis	823	ncbi_expand	Gut commensal; bile resistance
GCF_000154525.1	Bacteroides stercoris	46506	ncbi_expand	Common gut Bacteroides
GCF_025146565.1	Bacteroides eggerthii	28111	ncbi_expand	Common gut Bacteroides
GCF_001314995.1	Bacteroides ovatus	28116	ncbi_expand	Major gut symbiont; hemicellulose
GCF_000012825.1	Phocaeicola vulgatus	821	ncbi_expand	Was Bacteroides vulgatus; reclassified 2020; one of most abundant gut bacteria
GCF_018292205.1	Bacteroides caccae	47678	ncbi_expand	Common gut Bacteroides
GCF_000154465.1	Alistipes putredinis	28117	ncbi_expand	Gut commensal; amino acid fermentation
